time,zoneR1C1_AG_slower.Y
441000,19.51336861
441000,19.51336861
442800,19.34765428
442800,19.34765427
442800,19.34765427
444600,19.18132298
444600,19.18132297
444600,19.18132297
446400,19.01694435
446400,19.01694434
446400,19.01694434
448200,18.85706292
448200,18.85706292
448200,18.85706292
450000,19.11373214
450000,19.11373215
450000,19.11373215
451800,19.6081648
451800,19.60816482
451800,19.60816482
453600,20.09539841
453600,20.09539843
453600,20.09539843
455400,20.57522797
455400,20.57522798
455400,20.57522798
457200,21.0487854
457200,21.04878541
457200,21.04878541
459000,21.5325611
459000,21.53256111
459000,21.53256111
460800,22.05334585
460800,22.05334586
460800,22.05334586
462600,22.1116369
462600,22.1116369
462600,22.1116369
464400,22.6561995
464400,22.65619952
464400,22.65619952
466200,23.25946281
466200,23.25946282
466200,23.25946282
468000,23.82406729
468000,23.8240673
468000,23.8240673
469800,24.1224998
469800,24.1224998
469800,24.1224998
471600,24.15232508
471600,24.15232508
471600,24.15232508
473400,24.17012593
473400,24.17012593
473400,24.17012593
475200,24.17991806
475200,24.17991806
475200,24.17991806
477000,24.15074048
477000,24.15074048
477000,24.15074048
478800,24.09780924
478800,24.09780924
478800,24.09780924
480600,24.04093634
480600,24.04093634
480600,24.04093634
482400,23.97653607
482400,23.97653607
482400,23.97653607
484200,23.88605309
484200,23.88605308
484200,23.88605308
486000,23.77180528
486000,23.77180527
486000,23.77180527
487800,23.64357202
487800,23.64357201
487800,23.64357201
489600,23.50698603
489600,23.50698603
489600,23.50698603
491400,23.36640168
491400,23.36640168
491400,23.36640168
493200,23.22507754
493200,23.22507753
493200,23.22507753
495000,23.08343399
495000,23.08343399
495000,23.08343399
496800,22.98006418
496800,22.98006418
496800,22.98006418
498600,22.983633
498600,22.983633
498600,22.983633
500400,22.99888823
500400,22.99888823
500400,22.99888823
502200,23.00852179
502200,23.00852179
502200,23.00852179
504000,23.0068119
504000,23.0068119
504000,23.0068119
505800,22.99995583
505800,22.99995583
505800,22.99995583
507600,22.99602208
507600,22.99602208
507600,22.99602208
509400,22.9972004
509400,22.9972004
509400,22.9972004
511200,23.00032578
511200,23.00032578
511200,23.00032578
513000,23.00185255
513000,23.00185255
513000,23.00185255
514800,23.0011343
514800,23.0011343
514800,23.0011343
516600,22.99974214
516600,22.99974214
516600,22.99974214
518400,22.99914618
518400,22.99914618
518400,22.99914618
520200,22.99953227
520200,22.99953227
520200,22.99953227
522000,23.00014228
522000,23.00014228
522000,23.00014228
523800,23.00032664
523800,23.00032664
523800,23.00032664
525600,23.00011851
525600,23.00011851
525600,23.00011851
527400,22.99988441
527400,22.99988441
527400,22.99988441
529200,22.99988062
529200,22.99988062
529200,22.99988062
531000,23.00002216
531000,23.00002216
531000,23.00002216
532800,23.00010022
532800,23.00010022
532800,23.00010022
534600,23.00006331
534600,23.00006331
534600,23.00006331
536400,23.00000771
536400,23.00000771
536400,23.00000771
538200,23.00004611
538200,23.00004611
538200,23.00004611
540000,22.86257174
540000,22.86257173
540000,22.86257173
541800,22.72660697
541800,22.72660697
541800,22.72660697
543600,22.5968873
543600,22.5968873
543600,22.5968873
545400,22.47410712
545400,22.47410711
545400,22.47410711
547200,22.35744862
547200,22.35744861
547200,22.35744861
549000,22.25609838
549000,22.25609838
549000,22.25609838
550800,22.19635936
550800,22.19635936
550800,22.19635936
552600,22.17412981
552600,22.17412981
552600,22.17412981
554400,22.17326594
554400,22.17326594
554400,22.17326594
556200,22.22203609
556200,22.22203609
556200,22.22203609
558000,22.32361648
558000,22.32361648
558000,22.32361648
559800,22.42362683
559800,22.42362684
559800,22.42362684
561600,22.50793862
561600,22.50793862
561600,22.50793862
563400,22.60830139
563400,22.60830141
563400,22.60830141
565200,23.11028838
565200,23.11028838
565200,23.11028838
567000,23.150371
567000,23.150371
567000,23.150371
568800,23.15937646
568800,23.15937646
568800,23.15937646
570600,23.13227456
570600,23.13227456
570600,23.13227456
572400,23.06792979
572400,23.06792979
